,p1ori_fluo,p1ori_std_dev,p1longori_fluo,p1longori_std_dev,p5ter_fluo,p5ter_std_dev,p5ori_fluo,p5ori_std_dev,p1longter_fluo,p1longter_std_dev,time
78,609021.648928793,75845.78360182884,799443.0640268454,118122.02476938118,180672.15447052804,28023.801892961394,334664.8409285158,68877.33817661786,434426.4646379813,67176.51329036412,13.793103448275872
79,606110.2748311319,72773.0768709572,796602.7555244602,107242.57226055917,179903.71257717558,29221.82811646122,333086.66709878366,68783.81809503442,432747.95364202984,67766.22858229226,17.816091954023022
80,601553.5486685531,74985.7244185365,793214.2578639649,108465.71707034358,178792.6108829609,28991.400317662767,330889.49407039606,69067.1754515739,430838.50962436816,66158.49784828143,21.839080459770116
81,597778.0547171216,75327.85958047364,791720.2733944098,109851.8752224316,177519.55075534593,28382.007640731896,327729.1733155964,68406.09837131681,428110.1503912436,66362.39732576544,25.862068965517267
82,595566.2809248444,76088.88669921149,792583.7410066122,105301.73793322527,175862.55748441257,29387.99924235657,324459.80245246773,69306.93585099318,428333.74669658707,67970.64720433277,29.88505747126436
83,595489.2654354475,76947.43346427628,798515.7300046404,100722.94657250517,174062.1323686211,28956.847996315475,319301.9399697874,69629.9295885666,431578.3812576134,67775.72685096978,33.90804597701151
84,597895.9546600097,74900.9741944029,807073.7892793345,99685.82782745868,171892.16187213917,29776.35798964455,313251.4473017216,69686.8344078696,436689.8889597943,71207.96167758183,37.93103448275866
85,603555.7528446396,75822.54718332125,819638.7973363802,103267.5787234276,169565.22621604527,30005.96823503239,307643.12185330177,69121.1035485982,443002.89375432464,67657.0447738398,41.954022988505756
86,613053.6219314656,74692.84680935167,833275.983702595,99203.47073150618,167365.95286468865,30339.049707372287,301642.17395913374,68126.05241459093,450767.2748092833,70011.06828396983,45.977011494252906
87,621494.4616952519,74642.67106111732,848747.1044704629,101549.22680392883,165272.83895225826,29022.274258368438,296478.136369141,67583.13993932698,457251.2359014492,71100.674123079,50.0
88,630454.2712006378,72273.49932276075,864965.358703061,103496.59404717511,163439.04135556947,27873.213442237517,292778.06515624205,67829.70976994716,464167.621334653,72180.8300648118,54.02298850574715
89,641459.7692349106,72467.50509575765,881909.1135026678,98355.95588917054,161757.54928442914,28192.322750025818,289552.28604171315,64586.15960525238,469538.8587347919,73390.63257688157,58.045977011494244
90,652581.7243234942,73006.89311757968,896597.585598447,103308.91830852289,160103.42175629613,27689.76582469351,287381.3121144415,63069.89125044127,475344.58030572213,82687.14003504743,62.068965517241395
